Date,SPY,XLK,XLF,XLV,XLE
2020-05-12,262.8419494628906,44.49626159667969,19.029521942138672,90.04110717773438,14.648080825805664
2020-05-13,258.1932373046875,43.72956848144531,18.466407775878906,89.06454467773438,13.982794761657715
2020-05-14,261.2831115722656,44.28672790527344,18.940139770507812,90.04110717773438,14.13933277130127
2020-05-15,262.4842529296875,44.51054000854492,18.81499671936035,90.80064392089844,14.08454704284668
2020-05-18,270.4794006347656,45.60104751586914,19.780330657958984,91.55111694335938,15.235101699829102
2020-05-19,267.7012634277344,45.43437576293945,19.297670364379883,90.44799041748047,14.808533668518066
2020-05-20,272.2489929199219,46.429630279541016,19.726699829101562,90.55648040771484,15.399465560913086
2020-05-21,270.369384765625,45.78200149536133,19.664133071899414,89.88736724853516,15.152921676635742
2020-05-22,270.8829040527344,45.94865798950195,19.592628479003906,90.07725524902344,15.059000015258789
2020-05-26,274.22027587890625,45.90105438232422,20.61158561706543,89.91450500488281,15.47773551940918
2020-05-27,278.30035400390625,46.1629638671875,21.50541877746582,90.84583282470703,15.677328109741211
2020-05-28,277.7869567871094,46.072479248046875,21.165754318237305,92.03034210205078,15.239017486572266
2020-05-29,279.0246887207031,46.65345764160156,20.924423217773438,93.14252471923828,15.168575286865234
2020-06-01,280.1524353027344,46.63916778564453,21.165754318237305,92.22020721435547,15.43468952178955
2020-06-02,282.4721374511719,47.07726287841797,21.335588455200195,92.75372314453125,15.8651704788208
2020-06-03,286.2314453125,47.44395446777344,22.13109016418457,92.57288360595703,16.330873489379883
2020-06-04,285.4794921875,47.05345153808594,22.613750457763672,91.84048461914062,16.33478355407715
2020-06-05,292.79620361328125,48.29157638549805,23.45395278930664,93.3233642578125,17.547958374023438
2020-06-08,296.3354187011719,48.53445053100586,23.900861740112305,93.96533203125,18.338478088378906
2020-06-09,294.125732421875,48.76301956176758,23.391380310058594,92.98880004882812,17.649707794189453
2020-06-10,292.4845275878906,49.577327728271484,22.515432357788086,92.8441390991211,16.780921936035156
2020-06-11,275.6230773925781,46.734405517578125,20.67415428161621,87.68112182617188,15.199884414672852
2020-06-12,278.92388916015625,47.33917236328125,21.299833297729492,88.25077056884766,15.583395957946777
2020-06-15,281.52777099609375,47.79634094238281,21.594789505004883,88.44966125488281,15.630364418029785
2020-06-16,286.94659423828125,48.815406799316406,21.934450149536133,90.62883758544922,16.08041000366211
2020-06-17,285.75457763671875,48.80587387084961,21.603734970092773,90.53840637207031,15.532525062561035
2020-06-18,285.8646240234375,49.024932861328125,21.576915740966797,90.23097229003906,15.724285125732422
2020-06-19,284.23095703125,48.68682098388672,21.433900833129883,91.0989990234375,15.485564231872559
2020-06-22,286.0543212890625,49.6041259765625,21.327762603759766,90.7494125366211,15.557306289672852
2020-06-23,287.3712158203125,49.9622688293457,21.426708221435547,91.13986206054688,15.573161125183105
2020-06-24,280.0407409667969,48.8353385925293,20.671104431152344,88.76082611083984,14.709087371826172
2020-06-25,283.04290771484375,49.460880279541016,21.219818115234375,89.63250732421875,14.990504264831543
2020-06-26,276.3203430175781,48.48674392700195,20.311294555664062,88.54287719726562,14.47126579284668
2020-06-29,280.3814697265625,49.016788482666016,20.536174774169922,89.34194946289062,14.665486335754395
2020-06-30,283.9729919433594,49.895416259765625,20.815031051635742,90.86746215820312,15.002395629882812
2020-07-01,285.96221923828125,49.976600646972656,20.635128021240234,91.566650390625,14.637740135192871
2020-07-02,287.53704833984375,50.26787185668945,20.662113189697266,92.25676727294922,14.800249099731445
2020-07-06,291.9759216308594,51.14649200439453,21.057907104492188,93.19203186035156,14.843850135803223
2020-07-07,288.96441650390625,50.61168670654297,20.626129150390625,92.38389587402344,14.372176170349121
2020-07-08,291.1746826171875,51.437782287597656,20.84201431274414,92.39295959472656,14.360286712646484
2020-07-09,289.5169982910156,51.6240119934082,20.4012508392334,91.66653442382812,13.65079402923584
2020-07-10,292.4731140136719,51.60969543457031,21.102880477905273,91.44861602783203,14.086797714233398
2020-07-13,289.94061279296875,50.54005813598633,21.19283103942871,91.9661865234375,14.011482238769531
2020-07-14,293.6979064941406,51.12262725830078,21.300779342651367,93.79135131835938,14.502971649169922
2020-07-15,296.39617919921875,51.39958190917969,21.72355079650879,95.00812530517578,14.816105842590332
2020-07-16,295.4200439453125,50.76448059082031,21.72355079650879,94.85374450683594,14.748723030090332
2020-07-17,296.2764892578125,51.012794494628906,21.543651580810547,96.1522445678711,14.542613983154297
2020-07-20,298.6709289550781,52.316410064697266,21.444700241088867,96.13408660888672,14.300830841064453
2020-07-21,299.3062438964844,51.791141510009766,21.867475509643555,96.07052612304688,15.16490650177002
2020-07-22,301.0100402832031,52.20657730102539,21.867475509643555,96.93314361572266,14.97861099243164
2020-07-23,297.4183654785156,50.85043716430664,21.885467529296875,96.497314453125,14.950870513916016
2020-07-24,295.50286865234375,50.23446273803711,21.83149528503418,95.43488311767578,14.867632865905762
2020-07-27,297.6579284667969,51.027122497558594,21.651596069335938,96.1522445678711,14.8834867477417
2020-07-28,295.76995849609375,50.43023681640625,21.597618103027344,96.04328918457031,14.629815101623535
2020-07-29,299.4076232910156,51.160831451416016,22.002405166625977,97.05120086669922,14.935016632080078
2020-07-30,298.3393249511719,51.44733428955078,21.606616973876953,96.3792495727539,14.348395347595215
2020-07-31,300.6968078613281,52.73185348510742,21.615612030029297,95.82535552978516,14.281012535095215
2020-08-03,302.7873840332031,54.03068161010742,21.678579330444336,96.81510925292969,14.332537651062012
2020-08-04,303.9569091796875,54.16917037963867,21.588626861572266,96.38834381103516,14.681343078613281
