Date,Entity,Value
2020-02-28,PORTFOLIO,8712.508103025983
2020-03-02,PORTFOLIO,9129.953198209825
2020-03-03,PORTFOLIO,8838.511504082744
2020-03-04,PORTFOLIO,9190.888547966404
2020-03-05,PORTFOLIO,8873.236683863903
2020-03-06,PORTFOLIO,8636.844176585413
2020-03-09,PORTFOLIO,7747.85822159579
2020-03-10,PORTFOLIO,8149.099147169308
2020-03-11,PORTFOLIO,7755.782549872111
2020-03-12,PORTFOLIO,6978.929400274206
2020-03-13,PORTFOLIO,7671.272614660289
2020-03-16,PORTFOLIO,6721.05696849235
2020-03-17,PORTFOLIO,7051.7050694782
2020-03-18,PORTFOLIO,6558.191146521154
2020-03-19,PORTFOLIO,6656.723726996728
2020-03-20,PORTFOLIO,6452.665191922057
2020-03-23,PORTFOLIO,6177.802239655178
2020-03-24,PORTFOLIO,6862.86773721063
2020-03-25,PORTFOLIO,7001.999284125108
2020-03-26,PORTFOLIO,7436.9990842760735
2020-03-27,PORTFOLIO,7147.493098929406
2020-03-30,PORTFOLIO,7362.914358965216
2020-03-31,PORTFOLIO,7289.0592485790785
2020-04-01,PORTFOLIO,6937.35412387583
2020-04-02,PORTFOLIO,7202.114842475387
2020-04-03,PORTFOLIO,7102.008894071402
2020-04-06,PORTFOLIO,7570.284851467844
2020-04-07,PORTFOLIO,7593.22977151161
2020-04-08,PORTFOLIO,7915.3094150702245
2020-04-09,PORTFOLIO,8019.054127874978
2020-04-13,PORTFOLIO,7930.440243092941
2020-04-14,PORTFOLIO,8095.891488214698
2020-04-15,PORTFOLIO,7871.675871106041
2020-04-16,PORTFOLIO,7837.919581013013
2020-04-17,PORTFOLIO,8182.6947964458905
2020-04-20,PORTFOLIO,8035.050378462099
2020-04-21,PORTFOLIO,7789.859949356945
2020-04-22,PORTFOLIO,7980.494087922775
2020-04-23,PORTFOLIO,8023.0206735972915
2020-04-24,PORTFOLIO,8127.899338738991
2020-04-27,PORTFOLIO,8276.735166946288
2020-04-28,PORTFOLIO,8269.260632446738
2020-04-29,PORTFOLIO,8561.953197099867
2020-04-30,PORTFOLIO,8449.392652376326
2020-05-01,PORTFOLIO,8176.318213356753
2020-05-04,PORTFOLIO,8243.434436435693
2020-05-05,PORTFOLIO,8313.160939020805
2020-05-06,PORTFOLIO,8219.031560973699
2020-05-07,PORTFOLIO,8344.645689353123
2020-05-08,PORTFOLIO,8517.335633604082
2020-05-11,PORTFOLIO,8495.5791623151
2020-05-12,PORTFOLIO,8326.570210503438
2020-05-13,PORTFOLIO,8125.446630270543
